id_order_line,id_orders,id_products,quantity,requested_qty,returned_flag
1,1,186,2,2,False
2,1,149,1,1,False
3,1,76,1,1,False
4,2,363,1,1,False
5,2,332,2,2,False
6,3,180,1,1,False
7,3,242,1,1,False
8,4,56,1,1,False
9,4,274,1,1,False
10,5,19,2,2,False
11,6,76,1,1,False
12,7,184,1,1,False
13,8,354,1,1,False
14,9,317,1,1,False
15,9,345,1,1,False
16,10,113,4,4,False
17,10,22,1,1,False
18,11,64,1,1,False
19,11,327,1,1,False
20,12,353,1,1,False
21,13,150,2,2,False
22,13,283,1,1,False
23,14,179,1,1,False
24,14,245,1,1,False
25,14,237,1,1,False
26,15,284,1,1,False
27,15,192,1,1,False
28,16,324,1,1,False
29,16,43,1,1,False
30,16,207,1,1,False
31,17,124,1,1,False
32,17,272,1,1,False
33,17,268,3,3,False
34,18,240,1,1,False
35,18,369,1,1,False
36,19,75,2,2,False
37,19,166,1,1,False
38,20,328,1,1,True
39,20,330,1,1,True
40,21,103,1,1,False
41,22,173,2,2,False
42,22,382,2,2,False
43,23,346,3,3,True
44,23,29,3,3,True
45,24,337,1,1,True
46,25,15,1,1,False
47,25,196,1,1,False
48,25,209,1,1,False
49,26,167,1,1,False
50,27,82,1,1,False
51,28,217,3,3,False
52,28,224,1,1,False
53,29,136,1,1,False
54,29,303,1,1,False
55,29,251,1,1,False
56,30,107,1,1,False
57,30,307,1,1,False
58,31,140,2,2,False
59,32,209,1,1,False
60,32,236,2,2,False
61,33,79,5,5,False
62,34,290,2,2,False
63,35,341,1,1,False
64,35,38,3,3,False
65,35,287,1,1,False
66,36,133,1,1,False
67,36,32,2,2,False
68,37,25,1,1,False
69,37,186,3,3,False
70,37,273,1,1,False
71,38,83,1,1,False
72,38,346,1,1,False
73,38,30,1,1,False
74,39,151,1,1,False
75,39,275,1,1,False
76,39,309,1,1,False
77,40,64,1,1,False
78,40,336,1,1,False
79,41,90,1,1,False
80,41,48,1,1,False
81,41,166,1,1,False
82,42,282,1,1,False
83,42,192,1,1,False
84,42,323,1,1,False
85,43,304,1,1,True
86,44,77,1,1,False
87,44,160,2,2,False
88,44,167,1,1,False
89,45,351,1,1,False
90,45,325,1,1,False
91,46,278,1,1,False
92,47,153,2,2,False
93,47,367,1,1,False
94,48,280,1,1,False
95,48,136,4,4,False
96,48,357,3,3,False
97,49,74,2,2,False
98,49,125,1,1,False
99,50,141,1,1,True
100,50,194,1,1,True
101,50,43,1,1,True
102,51,181,1,1,False
103,51,17,3,3,False
104,51,135,1,1,False
105,52,179,1,1,False
106,52,237,3,3,False
107,53,249,1,1,False
108,54,317,2,2,False
109,54,131,2,2,False
110,55,123,1,1,False
111,55,6,1,1,False
112,56,359,2,2,False
113,56,50,1,1,False
114,57,6,1,1,False
115,57,174,1,1,False
116,58,170,1,1,False
117,58,166,1,1,False
118,59,106,1,1,True
119,59,110,1,1,True
120,59,9,1,1,True
121,60,69,2,2,False
122,60,178,1,1,False
123,61,4,1,1,False
124,62,158,1,1,True
125,62,287,1,1,True
126,62,95,1,1,True
127,63,54,1,1,False
128,63,186,1,1,False
129,63,208,2,2,False
130,64,99,1,1,False
131,64,127,1,1,False
132,65,124,1,1,False
133,65,350,1,1,False
134,66,11,3,3,False
135,67,227,3,3,False
136,68,8,1,1,False
137,68,372,1,1,False
138,68,261,1,1,False
139,69,100,1,1,False
140,69,21,1,1,False
141,70,363,3,3,False
142,70,171,2,2,False
143,70,221,1,1,False
144,71,265,5,5,False
145,72,216,2,2,False
146,72,334,3,3,False
147,72,26,2,2,False
148,73,350,1,1,False
149,73,358,2,2,False
150,73,290,1,1,False
151,74,46,1,1,False
152,75,216,1,1,False
153,75,80,1,1,False
154,75,321,1,1,False
155,76,80,1,1,False
156,76,5,1,1,False
157,76,204,1,1,False
158,77,176,1,1,False
159,78,380,1,1,False
160,79,364,1,1,False
161,79,328,3,3,False
162,79,9,2,2,False
163,80,122,5,5,False
164,80,214,2,2,False
165,80,62,2,2,False
166,81,143,1,1,False
167,81,270,1,1,False
168,81,368,1,1,False
169,82,131,1,1,False
170,83,111,4,4,False
171,83,366,1,1,False
