id_order_log,id_orders,ts_ordered,ts_shipped_warehouse,ts_shipped_store,ts_delivered,ts_returned,ts_last_update,id_dim_date_ordered,id_dim_date_shipped_wh,id_dim_date_shipped_store,id_dim_date_delivered,id_dim_date_returned,id_dim_date_last_update
1,1,00:00:00,00:00:00,00:00:00,00:00:00,,00:00:00,20251118,20251119,20251121,20251122,,20251122
2,2,00:00:34,00:00:34,00:00:34,00:00:34,,00:00:34,20251118,20251119,20251121,20251122,,20251122
3,3,00:01:09,00:01:09,00:01:09,00:01:09,,00:01:09,20251118,20251119,20251121,20251122,,20251122
4,4,00:01:44,00:01:44,00:01:44,00:01:44,,00:01:44,20251118,20251119,20251121,20251122,,20251122
5,5,00:02:19,00:02:19,00:02:19,00:02:19,,00:02:19,20251118,20251119,20251121,20251122,,20251122
6,6,00:02:54,00:02:54,00:02:54,00:02:54,,00:02:54,20251118,20251119,20251121,20251122,,20251122
7,7,00:03:28,00:03:28,00:03:28,00:03:28,,00:03:28,20251118,20251119,20251121,20251122,,20251122
8,8,00:04:03,00:04:03,00:04:03,00:04:03,,00:04:03,20251118,20251119,20251121,20251122,,20251122
9,9,00:04:38,00:04:38,00:04:38,00:04:38,,00:04:38,20251118,20251119,20251121,20251122,,20251122
10,10,00:05:13,00:05:13,00:05:13,00:05:13,,00:05:13,20251118,20251119,20251121,20251122,,20251122
11,11,00:05:48,00:05:48,00:05:48,00:05:48,,00:05:48,20251118,20251119,20251121,20251122,,20251122
12,12,00:06:23,00:06:23,00:06:23,00:06:23,,00:06:23,20251118,20251119,20251121,20251122,,20251122
13,13,00:06:57,00:06:57,00:06:57,00:06:57,,00:06:57,20251118,20251119,20251121,20251122,,20251122
14,14,00:07:32,00:07:32,00:07:32,00:07:32,,00:07:32,20251118,20251119,20251121,20251122,,20251122
15,15,00:08:07,00:08:07,00:08:07,00:08:07,,00:08:07,20251118,20251119,20251121,20251122,,20251122
16,16,00:08:42,00:08:42,00:08:42,00:08:42,,00:08:42,20251118,20251119,20251121,20251122,,20251122
17,17,00:09:17,00:09:17,00:09:17,00:09:17,,00:09:17,20251118,20251119,20251121,20251122,,20251122
18,18,00:09:52,00:09:52,00:09:52,00:09:52,,00:09:52,20251118,20251119,20251121,20251122,,20251122
19,19,00:10:26,00:10:26,00:10:26,00:10:26,,00:10:26,20251118,20251119,20251122,20251123,,20251123
20,20,00:11:01,00:11:01,00:11:01,00:11:01,00:11:01,00:11:01,20251118,20251119,20251121,20251122,20251122.0,20251122
21,21,00:11:36,00:11:36,00:11:36,00:11:36,,00:11:36,20251118,20251119,20251122,20251123,,20251123
22,22,00:12:11,00:12:11,00:12:11,00:12:11,,00:12:11,20251118,20251119,20251121,20251122,,20251122
23,23,00:12:46,00:12:46,00:12:46,00:12:46,00:12:46,00:12:46,20251118,20251119,20251121,20251122,20251122.0,20251122
24,24,00:13:20,00:13:20,00:13:20,00:13:20,00:13:20,00:13:20,20251118,20251119,20251121,20251122,20251122.0,20251122
25,25,00:13:55,00:13:55,00:13:55,00:13:55,,00:13:55,20251118,20251119,20251121,20251122,,20251122
26,26,00:14:30,00:14:30,00:14:30,00:14:30,,00:14:30,20251118,20251119,20251121,20251122,,20251122
27,27,00:15:05,00:15:05,00:15:05,00:15:05,,00:15:05,20251118,20251119,20251122,20251123,,20251123
28,28,00:15:40,00:15:40,00:15:40,00:15:40,,00:15:40,20251118,20251119,20251121,20251122,,20251122
29,29,00:16:15,00:16:15,00:16:15,00:16:15,,00:16:15,20251118,20251119,20251121,20251122,,20251122
30,30,00:16:49,00:16:49,00:16:49,00:16:49,,00:16:49,20251118,20251119,20251121,20251122,,20251122
31,31,00:17:24,00:17:24,00:17:24,00:17:24,,00:17:24,20251118,20251119,20251121,20251122,,20251122
32,32,00:17:59,00:17:59,00:17:59,00:17:59,,00:17:59,20251118,20251119,20251121,20251122,,20251122
