id_transport_log,id_warehouse,id_store,id_suppliers,journey_status,ts_stock_shipped,ts_stock_received,ts_last_update,id_dim_date_stock_shipped,id_dim_date_stock_received,id_dim_date_last_update
1,WH01,ST001,1,On-Time,00:00:00,00:00:00,00:00:00,20251119,20251122,20251122
2,WH01,ST101,2,On-Time,00:00:34,00:00:34,00:00:34,20251119,20251122,20251122
3,WH02,ST002,3,On-Time,00:01:09,00:01:09,00:01:09,20251119,20251122,20251122
4,WH02,ST102,4,On-Time,00:01:44,00:01:44,00:01:44,20251119,20251122,20251122
5,WH03,ST003,5,On-Time,00:02:19,00:02:19,00:02:19,20251119,20251122,20251122
6,WH03,ST103,6,On-Time,00:02:54,00:02:54,00:02:54,20251119,20251122,20251122
7,WH04,ST004,7,On-Time,00:03:28,00:03:28,00:03:28,20251119,20251122,20251122
8,WH04,ST104,8,On-Time,00:04:03,00:04:03,00:04:03,20251119,20251122,20251122
9,WH05,ST005,9,On-Time,00:04:38,00:04:38,00:04:38,20251119,20251122,20251122
10,WH05,ST105,10,On-Time,00:05:13,00:05:13,00:05:13,20251119,20251122,20251122
11,WH06,ST006,11,On-Time,00:05:48,00:05:48,00:05:48,20251119,20251122,20251122
12,WH06,ST106,12,On-Time,00:06:23,00:06:23,00:06:23,20251119,20251122,20251122
13,WH07,ST007,13,On-Time,00:06:57,00:06:57,00:06:57,20251119,20251122,20251122
14,WH07,ST107,14,On-Time,00:07:32,00:07:32,00:07:32,20251119,20251122,20251122
15,WH08,ST008,15,On-Time,00:08:07,00:08:07,00:08:07,20251119,20251122,20251122
16,WH08,ST108,16,On-Time,00:08:42,00:08:42,00:08:42,20251119,20251122,20251122
17,WH09,ST009,17,On-Time,00:09:17,00:09:17,00:09:17,20251119,20251122,20251122
18,WH09,ST109,18,On-Time,00:09:52,00:09:52,00:09:52,20251119,20251122,20251122
19,WH10,ST010,19,Late,00:10:26,00:10:26,00:10:26,20251119,20251123,20251123
20,WH10,ST110,20,On-Time,00:11:01,00:11:01,00:11:01,20251119,20251122,20251122
21,WH11,ST011,1,Late,00:11:36,00:11:36,00:11:36,20251119,20251123,20251123
22,WH11,ST111,2,On-Time,00:12:11,00:12:11,00:12:11,20251119,20251122,20251122
23,WH12,ST012,3,On-Time,00:12:46,00:12:46,00:12:46,20251119,20251122,20251122
24,WH12,ST112,4,On-Time,00:13:20,00:13:20,00:13:20,20251119,20251122,20251122
25,WH13,ST013,5,On-Time,00:13:55,00:13:55,00:13:55,20251119,20251122,20251122
26,WH13,ST113,6,On-Time,00:14:30,00:14:30,00:14:30,20251119,20251122,20251122
27,WH14,ST014,7,Late,00:15:05,00:15:05,00:15:05,20251119,20251123,20251123
28,WH14,ST114,8,On-Time,00:15:40,00:15:40,00:15:40,20251119,20251122,20251122
29,WH15,ST015,9,On-Time,00:16:15,00:16:15,00:16:15,20251119,20251122,20251122
30,WH15,ST115,10,On-Time,00:16:49,00:16:49,00:16:49,20251119,20251122,20251122
31,WH16,ST016,11,On-Time,00:17:24,00:17:24,00:17:24,20251119,20251122,20251122
32,WH16,ST116,12,On-Time,00:17:59,00:17:59,00:17:59,20251119,20251122,20251122
33,WH17,ST017,13,Late,00:18:34,00:18:34,00:18:34,20251119,20251123,20251123
34,WH17,ST117,14,On-Time,00:19:09,00:19:09,00:19:09,20251119,20251122,20251122
35,WH18,ST018,15,On-Time,00:19:44,00:19:44,00:19:44,20251119,20251122,20251122
36,WH18,ST118,16,On-Time,00:20:18,00:20:18,00:20:18,20251119,20251122,20251122
37,WH19,ST019,17,On-Time,00:20:53,00:20:53,00:20:53,20251119,20251122,20251122
38,WH19,ST119,18,On-Time,00:21:28,00:21:28,00:21:28,20251119,20251122,20251122
39,WH20,ST020,19,On-Time,00:22:03,00:22:03,00:22:03,20251119,20251122,20251122
40,WH20,ST120,20,On-Time,00:22:38,00:22:38,00:22:38,20251119,20251122,20251122
41,WH01,ST001,1,On-Time,00:23:12,00:23:12,00:23:12,20251119,20251122,20251122
